name,lat,lon
Rådhuspassagen,55.7439334696163,12.4939206032287
Fortvej (Rødovre),55.6952237184886,12.44859262751
Amagerhallen,55.6231253495358,12.6144437338954
"Københavns Lufthavn, Kastrup (fjernbus)",55.6292273994335,12.6458240910507
Valby mod Kastrup (fjernbus),55.6635187158974,12.5157589902864
"Roskilde, Trekroner st (fjernbus)",55.6483457671695,12.1319156347238
Holbæk mod kbh. (fjernbus),55.7092499829538,11.6434932796666
Sjællands Odde (fjernbus),55.9765900143858,11.300909245951
Vig (fjernbus),55.8526332529583,11.5772748731674
Ebeltoft Superstop (fjernbus),56.1971732048708,10.6821088266694
Århus Rutebilstation (Fjernbus),56.1516647388628,10.2091767634082
Grenå Rutebilstation (fjernbus),56.4130645784116,10.880846634472
Grenå Havn (fjernbus),56.40696946028,10.9237728237026
Randers (fjernbus),56.4586697205147,10.0399696170739
Nykøbing Mors (fjernbus),56.7936062107895,8.86202549354533
Nørager (fjernbus),56.7058772342651,9.62896671372839
Hobro (fjernbus),56.6393877900325,9.79644955366341
Aars (fjernbus),56.8025649843131,9.51062009589059
Løgstør (fjernbus),56.967611053135,9.25733316532585
Fjerritslev (fjernbus),57.0870376416513,9.26588171021608
Valby mod Odden (fjernbus),55.6635089533444,12.513276627403
Holbæk mod Odden (fjernbus),55.7099766064525,11.6431443451827
Indiakaj,55.6951971328942,12.597887270123
Løjtegårdsskolen,55.6230667162113,12.6194758385362
Gladsaxevej (Gladsaxe),55.7360616249942,12.4855352187337
København Vesterbrogade (fjernbus),55.6743521775691,12.5634638117356
Simrishamn (fjernbus),55.5583718518588,14.3537996845601
Allinge (fjernbus),55.2789262552018,14.8009497061938
Rosenkæret,55.7358497506295,12.4815959981256
Gladsaxe Møllevej (Gladsaxe),55.735092945543,12.4772099218724
Gladsaxe Møllevej (Gladsaxe),55.7351001127436,12.4772743033915
Rosenkæret,55.7358336169849,12.4815308154034
Vink - Lille Valby,55.6976271744636,12.1179343246535
Vink - Lille Valby,55.6977765999395,12.1170070343146
Nørrebro Bycenter,55.7043221094568,12.5379769135891
Færgegård,55.8408240284768,12.0330708439735
Store Magleby Strandvej,55.5835343804918,12.6353753493209
Sassnitz Havn,54.484796106089,13.5873996400886
Orø Havn (færge),55.7561647193507,11.800762935566
Holbæk Havn (færge),55.7208252646349,11.7083446917116
Skarø Havn (Færge),55.0111652373582,10.4730323143694
Drejø Havn (Færge),54.9659946623234,10.4369496332433
Hundested Havn (færge),55.9657821212087,11.8450811370941
Rørvig Havn (færge),55.9454825250896,11.7666705107801
Sundsøre Havn (Færge),56.7090390163392,9.17539695537269
Faaborg Havn (Færge),55.0927370458777,10.2422126579604
Ærøskøbing Havn (Færge),54.8915479180548,10.4127182681343
Marstal Havn (Færge),54.8563868788648,10.5214753917138
Femø Havn (færge),54.9718846558115,11.5147230671589
Bandholm Havn (færge),54.8389282849978,11.4917108449068
Askø Havn (færge),54.8847685425263,11.4832354835736
Thyborøn Havn (færge),56.6894983038854,8.22427220897777
Agger Havn (færge),56.7018714946237,8.24653908732314
Havnsø Havn (færge),55.7538793108986,11.3258021074074
Sejerø Havn (færge),55.8800979969873,11.1379292104615
Branden Havn (færge),56.8002918885144,9.02578885113973
Fur Havn (færge),56.8038412723381,9.02161555547027
Aarøsund Havn (færge),55.2612931295952,9.71272810487037
Aarø Havn (færge),55.2602431697274,9.73072603307606
Hammer Bakke Havn (færge),55.7558283571427,11.8462813824623
Orø Gamløse Havn (færge),55.7570416644191,11.8358007440883
Kragenæs Havn (færge),54.9163597921904,11.3600137735776
Stigsnæs Havn (færge),55.2124320631141,11.2451119057705
Agersø Havn (færge),55.2114465977165,11.1985579575241
Omø Havn (færge),55.1715163131043,11.1600520628235
Tunø Havn (færge),55.9484228931227,10.4540976031631
Lyø Havn (færge),55.0520222579836,10.1587207184326
Avernakø Havn (færge),55.0400151798838,10.2504867640492
Aalborg Havn (færge),57.0586510135872,9.88166284800576
